date,MKT,SMB,MOM
2026-01-05,0.0080,0.0015,0.0040
2026-01-06,-0.0045,-0.0010,-0.0030
2026-01-07,0.0110,0.0020,0.0060
2026-01-08,0.0045,-0.0005,0.0030
2026-01-09,-0.0060,0.0010,-0.0040
2026-01-12,0.0130,0.0025,0.0070
2026-01-13,0.0035,-0.0010,0.0045
2026-01-14,-0.0070,-0.0020,-0.0050
2026-01-15,0.0120,0.0015,0.0065
2026-01-16,0.0045,0.0005,0.0040
2026-01-19,-0.0040,-0.0015,-0.0035
2026-01-20,0.0110,0.0020,0.0075
2026-01-21,0.0040,-0.0005,0.0045
2026-01-22,-0.0060,-0.0020,-0.0040
2026-01-23,0.0120,0.0025,0.0070
2026-01-26,0.0035,0.0005,0.0040
2026-01-27,-0.0050,-0.0010,-0.0030
2026-01-28,0.0115,0.0015,0.0065
2026-01-29,0.0040,-0.0005,0.0040
2026-01-30,-0.0055,-0.0015,-0.0040
2026-02-02,0.0120,0.0020,0.0075
2026-02-03,0.0040,0.0005,0.0045
2026-02-04,-0.0050,-0.0010,-0.0035
2026-02-05,0.0115,0.0020,0.0070
2026-02-06,0.0040,-0.0005,0.0040
2026-02-09,-0.0060,-0.0015,-0.0045
2026-02-10,0.0130,0.0025,0.0080
2026-02-11,0.0040,0.0005,0.0045
2026-02-12,-0.0055,-0.0020,-0.0040
2026-02-13,0.0120,0.0020,0.0075
2026-02-16,0.0040,-0.0005,0.0045
2026-02-17,-0.0050,-0.0015,-0.0035
2026-02-18,0.0115,0.0020,0.0070
2026-02-19,0.0040,0.0005,0.0045
2026-02-20,-0.0060,-0.0020,-0.0045
2026-02-23,0.0130,0.0025,0.0080
2026-02-24,0.0040,0.0005,0.0045
2026-02-25,-0.0050,-0.0010,-0.0035
2026-02-26,0.0120,0.0020,0.0075
2026-02-27,0.0040,-0.0005,0.0040
