date,ALPHA,BETA,GAMMA,DELTA
2026-01-02,100.00,80.00,120.00,60.00
2026-01-05,100.80,80.96,120.24,60.72
2026-01-06,100.39,80.31,120.60,60.48
2026-01-07,101.49,81.84,120.48,61.51
2026-01-08,102.00,82.17,120.96,61.88
2026-01-09,101.39,81.10,121.20,61.63
2026-01-12,102.71,83.13,121.56,62.74
2026-01-13,103.02,83.54,121.32,63.18
2026-01-14,102.30,82.04,121.81,62.80
2026-01-15,103.53,83.68,122.17,63.87
2026-01-16,104.05,84.18,122.05,64.32
2026-01-19,103.63,83.34,122.54,64.06
2026-01-20,104.77,85.01,122.91,65.28
2026-01-21,105.19,85.52,123.15,65.80
2026-01-22,104.56,84.32,123.52,65.47
2026-01-23,105.82,86.18,123.64,66.65
2026-01-26,106.14,86.61,124.14,67.11
2026-01-27,105.61,85.66,124.51,66.91
2026-01-28,106.88,87.46,124.39,68.05
2026-01-29,107.31,87.90,124.89,68.60
2026-01-30,106.77,86.67,125.14,68.26
2026-02-02,108.05,88.58,125.64,69.56
2026-02-03,108.48,89.02,126.02,70.12
2026-02-04,107.94,87.77,126.27,69.84
2026-02-05,109.24,89.70,126.78,71.17
2026-02-06,109.68,90.24,127.16,71.67
2026-02-09,109.02,88.89,127.41,71.31
2026-02-10,110.44,91.02,127.92,72.74
2026-02-11,110.88,91.57,128.18,73.32
2026-02-12,110.33,90.10,128.69,72.95
2026-02-13,111.65,92.26,129.08,74.34
2026-02-16,112.10,92.72,129.34,74.93
2026-02-17,111.54,91.43,129.86,74.63
2026-02-18,112.88,93.54,130.25,76.05
2026-02-19,113.33,94.10,130.51,76.66
2026-02-20,112.65,92.59,131.03,76.28
2026-02-23,114.12,94.90,131.42,77.73
2026-02-24,114.58,95.47,131.69,78.35
2026-02-25,114.01,94.14,132.22,78.04
2026-02-26,115.38,96.31,132.62,79.52
2026-02-27,115.84,96.89,132.88,80.08
